DATETIME, REPOSITORY_URL, BRANCH, SCORE, LEVEL, RESULT, DROP_INTERVAL, 1LINE_SCORE, 2LINE_SCORE, 3LINE_SCORE, 4LINE_SCORE, GAMEOVER_SCORE, DROPDOWN_SCORE, BLOCK_NO, TRIAL_NUM, SCORE_MEAN, SCORE_STDEV, SCORE_MAX, SCORE_MIN
2022/01/04_4:06:37, https://github.com/seigot/tetris, master, -1571, 2, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/04_13:07:37, https://github.com/seigot/tetris, master, -1491, 2, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/04_20:59:58, https://github.com/seigot/tetris, master, -1666, 2, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/11_14:10:39, https://github.com/seigot/tetris, master, -1586, 2, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/13_21:27:27, https://github.com/seigot/tetris, master, -1646, 2, SUCCESS, 1000, 0, 0, 0, 0, -3500, -, -, -, -, -, -, -
2022/01/16_22:16:05, https://github.com/isshy-you/tetris, master, 5356, 2, SUCCESS, 1000, 1800, 900, 0, 1300, -1000, -, -, -, -, -, -, -
2022/01/22_22:23:24, https://github.com/seigot/tetris, master, -1570, 2, SUCCESS, 1000, 100, 0, 0, 0, -3500, 1830, 180, -, -, -, -, -
2022/01/25_17:23:24, https://github.com/seigot/tetris, master, -1967, 2, SUCCESS, 1000, 0, 0, 0, 0, -4000, 2033, 180, -, -, -, -, -
2022/02/05_21:58:23, https://github.com/isshy-you/tetris, ish04f, 9432, 2, SUCCESS, 1000, 1100, 3000, 2100, 1300, -500, 2432, 180, -, -, -, -, -
2022/02/06_1:10:03, https://github.com/isshy-you/tetris, ish04e, 9884, 2, SUCCESS, 1000, 2100, 2400, 2100, 1300, -500, 2484, 180, -, -, -, -, -
2022/02/06_18:28:08, https://github.com/isshy-you/tetris, ish04f, 12711, 2, SUCCESS, 1000, 3800, 1800, 2800, 1300, 0, 3011, 180, -, -, -, -, -
2022/02/12_1:36:51, https://github.com/seigot/tetris, master, -1506, 2, SUCCESS, 1000, 0, 0, 0, 0, -3500, 1994, 180, 10, -1580.40, 59.47, -1506, -1671
2022/02/12_21:33:14, https://github.com/seigot/tetris, master, -1406, 2, SUCCESS, 1000, 100, 0, 0, 0, -3500, 1994, 180, 10, -1730.30, 291.91, -1406, -2176
2022/02/12_22:50:02, https://github.com/isshy-you/tetris, master, 13577, 2, SUCCESS, 1000, 1100, 2400, 2800, 5200, -500, 2577, 180, 10, 9096.90, 2531.09, 13577, 5735
2022/02/14_0:40:49, https://github.com/isshy-you/tetris, ish04e, 13627, 2, SUCCESS, 1000, 2500, 2700, 4200, 1300, 0, 2927, 180, 10, 10277.70, 2444.59, 13627, 6483
2022/02/18_0:36:04, https://github.com/isshy-you/tetris, master, 817980, 2, SUCCESS, 1, 115600, 163500, 154000, 266500, -78500, 196880, 15161, 10, 795498.20, 15953.60, 817980, 767070
2022/02/18_0:53:40, https://github.com/isshy-you/tetris, master, 827187, 2, SUCCESS, 1, 120800, 170400, 166600, 245700, -78000, 201687, 15440, 10, 806188.30, 11791.03, 827187, 790623
2022/02/20_12:01:35, https://github.com/usamin24/tetris, usami_practice1, 12875, 2, SUCCESS, 1000, 4200, 3300, 700, 1300, 0, 3375, 180, 10, 11601.60, 1151.18, 12875, 9041
2022/02/23_2:04:45, https://github.com/seigot/tetris, master, -1064, 2, SUCCESS, 1000, 0, 0, 0, 0, -3000, 1936, 180, 10, -1548.30, 237.68, -1064, -2009
2022/02/27_0:07:56, https://github.com/isshy-you/tetris, ish05a, 14558, 2, SUCCESS, 1000, 2000, 3600, 2100, 3900, 0, 2958, 180, 10, 10285.00, 2566.88, 14558, 7088
2022/03/07_0:31:16, https://github.com/isshy-you/tetris, ish05a, 889321, 2, SUCCESS, 1, 119700, 156600, 188300, 293800, -71500, 202421, 15341, 10, 840972.10, 28258.08, 889321, 787351
2022/03/12_20:18:56, https://github.com/usamin24/tetris, master, 18857, 2, SUCCESS, 1000, 400, 1500, 6300, 7800, 0, 2857, 180, 10, 15831.10, 1403.88, 18857, 14056
2022/03/13_19:50:20, https://github.com/usamin24/tetris, master, 17716, 2, SUCCESS, 1000, 1200, 900, 6300, 6500, 0, 2816, 180, 10, 14310.40, 2911.27, 17716, 9579
2022/03/14_0:34:31, https://github.com/isshy-you/tetris, ish05b, 13315, 2, SUCCESS, 1000, 1500, 2100, 1400, 6500, -500, 2315, 180, 10, 7909.10, 3076.79, 13315, 4307
2022/03/14_22:30:23, https://github.com/usamin24/tetris, Lv2, 18621, 2, SUCCESS, 1000, 800, 2100, 6300, 6500, 0, 2921, 180, 10, 16002.30, 1988.85, 18621, 12825
2022/03/15_1:12:40, https://github.com/isshy-you/tetris, ish05c, 16114, 2, SUCCESS, 1000, 1800, 2700, 2100, 6500, 0, 3014, 180, 10, 11630.80, 2864.04, 16114, 6880
2022/03/15_5:34:07, https://github.com/yuin0/tetris, develop, 14159, 2, SUCCESS, 1000, 3000, 3600, 700, 3900, 0, 2959, 180, 10, 12439.20, 684.88, 14159, 11860
2022/03/15_23:12:09, https://github.com/yuin0/tetris, master, 22508, 2, SUCCESS, 1000, 800, 0, 700, 18200, 0, 2808, 180, 10, 18352.20, 1804.26, 22508, 16044
2022/03/15_23:45:46, https://github.com/isshy-you/tetris, ish05c, 1019085, 2, SUCCESS, 1, 147600, 219600, 233100, 253500, -50000, 215285, 15791, 10, 962707.10, 32816.97, 1019085, 919722
2022/03/17_0:51:55, https://github.com/isshy-you/tetris, ish05d, 15478, 2, SUCCESS, 1000, 1600, 4800, 3500, 2600, 0, 2978, 180, 10, 12434.20, 2377.08, 15478, 8121
2022/03/17_0:52:12, https://github.com/isshy-you/tetris, ish05d, 1038558, 2, SUCCESS, 1, 142400, 231300, 251300, 249600, -46000, 209958, 15790, 10, 992273.60, 22955.69, 1038558, 954883
2022/03/18_20:57:41, https://github.com/yuin0/tetris, develop, 20352, 2, SUCCESS, 1000, 1200, 900, 0, 15600, 0, 2652, 180, 10, 17010.40, 2929.09, 20352, 11262
2022/03/21_2:20:23, https://github.com/isshy-you/tetris, ish05f, 15614, 2, SUCCESS, 1000, 2300, 3000, 3500, 3900, 0, 2914, 180, 10, 10682.90, 2760.64, 15614, 6018
2022/03/22_23:56:23, https://github.com/isshy-you/tetris, ish05h3, 13587, 2, SUCCESS, 1000, 2500, 3600, 2100, 2600, 0, 2787, 180, 10, 10719.20, 2012.17, 13587, 7367
